"","authors","title","Published.Year","journal","DOI","abstract"
"59","Salamun, P.; Hanzelova, V.; Miklisova, D.; Brazova, T.","Effect of heavy metals on soil nematode communities in the vicinity of a metallurgical plant in North Slovakia",2015,"Helminthologia","10.1515/helmin-2015-0040","The effect of industrial pollution from chromium ferroalloys production on soil free-living nematode assemblages, c-p groups and generic composition was investigated along 7-km transect. From trace elements (Cr, Cu, Ni and Pb), only chromium exceeded the thresholds for uncontaminated soils (10 mg.kg(-1)) near the pollution source. In contrast mobilizable fraction of Cr has increased with the distance from the pollution source and was found to be positively correlated with C-ox, soil pH, and moisture. Generic richness (nematode diversity) was also higher at remote sites. The low contamination has no significant impact on the nematode communities as illustrated by the c-p groups composition and balanced community structure. Widely applied ecological indices SI and EI also proved maturing ecosystem without any significant stress responses."
"60","Salamun, P.; Brazova, T.; Miklisova, D.; Hanzelova, V.","Influence of selected heavy metals (As, Cd, Cr, Cu) on nematode communities in experimental soil microcosm",2015,"Helminthologia","10.1515/helmin-2015-0054","In this study, the effects of arsenic, cadmium, copper and chromium treatments were examined on a nematode community structure and proportion of functional groups in the microcosm for 30 days. The toxic effects on the nematode community did not correspond with metals mobility (EDTA extraction) in soil as it was expected. The most toxic element with a significant degradation of community structure was chromium (low mobile), which negatively affected almost all observed ecological parameters (abundance, diversity and ecological indices). On the other hand, cadmium and arsenic influence was negligible even in the plots treated with the highest concentrations and the communities resembled to the control samples. Copper showed a stimulative effect on the community under low concentration (40 mg.kg(-1)), while under higher concentrations the stimulation was replaced by stress responses. The widely used ecological indices, such as the Maturity Index 2-5, Structure Index, and Shannon-Weaver Index and c-p groups showed the best bioindication potential among nematode parameters."
"61","Russell, D. J.; Alberti, G.","Effects of long-term, geogenic heavy metal contamination on soil organic matter and microarthropod communities, in particular Collembola",1998,"Applied Soil Ecology","10.1016/s0929-1393(98)00109-7","The effects of long-term, geogenic heavy-metal contamination on the soil zoocoenoses and decomposition processes were studied in two beech forest sites near Heidelberg, Germany. One of these was heavily contaminated with Pb, Cd, and Zn. In the data presented, the condition of the soil organic matter (SOM) and the microarthropod communities in the two sites are compared. Only negligible differences between them were noted in the litter layers. However, in the mineral horizons, the contaminated site showed an accumulation of SOM of up to 100% relative to the reference site and of humic substances up to 200%. SOM was less degraded and humic substances less polymerized than in the reference site. The initial breakdown of litter material appeared similar in both sites, with differences seeming to occur only in later stages of decomposition. Collembola community structure was highly skewed in both sites with Isotoma notabilis and Folsomia manolachei strongly dominant. The greatest site differences were noted among subdominant species living in those soil horizons with the largest differences in SOM. (C) 1998 Elsevier Science B.V."
"62","Ruess, L.; Schmidt, I. K.; Michelsen, A.; Jonasson, S.","Responses of nematode species composition to factorial addition of carbon, fertiliser, bactericide and fungicide at two sub-arctic sites",2002,"Nematology","10.1163/156854102760290509","Nutrient availability is a major constraint on plant production and carbon storage in arctic ecosystems but knowledge on the decomposer food web interactions and their effect on nutrient cycling is scarce. We manipulated the soil food web at two contrasting subarctic sites, a low altitude heath and a high altitude fell-field. The influx of nutrients and energy in the soil was increased by addition of fertiliser nitrogen, phosphorus and potassium and of labile carbon (sugar). In addition, two bactericides (penicillin and streptomycin) and a fungicide (benomyl) were applied to manipulate the bacterial and fungal component of the soil. Experiments were carried out in a factorial design with repeated additions over four growing seasons. The present study investigated the nematode fauna and the effects of the manipulations on the abundance of nematode species. Fertilisation resulted in an increase of general opportunists, especially Aphelenchoides. Application of carbon or bactericides had only minor impact on the nematode community. In contrast, the fungicide was very toxic to non-target organisms and greatly reduced the abundance of most nematode species, although Acrobeloides buetschlii showed tolerance and greatly increased in number. At both sites, Eudorylaimus was most affected by the treatments, Generally the manipulations performed resulted in a significant increase in stress tolerant or competitive dominant nematode species."
"63","Santorufo, L.; Van Gestel, C. A. M.; Rocco, A.; Maisto, G.","Soil invertebrates as bioindicators of urban soil quality",2012,"Environmental Pollution","10.1016/j.envpol.2011.09.042","This study aimed at relating the abundance and diversity of invertebrate communities of urban soils to chemical and physical soil characteristics and to identify the taxa most sensitive or tolerant to soil stressors. The invertebrate community of five urban soils in Naples, Italy, was sampled. To assess soil quality invertebrate community indices (Shannon, Simpson, Menhinick and Pielou indices), Acarina/Collembola ratios, and the soil biological quality index (QBS) were calculated. The chemical and physical characteristics of the soils strongly differed. Abundance rather than taxa richness of invertebrates were more affected by soil characteristics. The community was more abundant and diverse in the soils with high organic matter and water content and low metal (Cu, Pb, Zn) concentrations. The taxa more resistant to the urban environment included Acarina, Enchytraeids, Collembola and Nematoda. Collembolans appeared particularly sensitive to changing soil properties. Among the investigated indices, QBS seems most appropriate for soil quality assessment. (C) 2011 Elsevier Ltd. All rights reserved."
"64","Santorufo, L.; Van Gestel, C. A. M.; Maisto, G.","Sampling season affects conclusions on soil arthropod community structure responses to metal pollution in Mediterranean urban soils",2014,"Geoderma","10.1016/j.geoderma.2014.02.001","This study aimed to assess if the period of sampling affected conclusions on the responses of arthropod community structure to metal pollution in urban soils in the Mediterranean area. Higher temperature and lower precipitation were detected in autumn than in spring. In both samplings, the most abundant taxa were Acarina and Collembola, although their relative abundances were differently affected by seasonality and metal contamination. The relative abundance of Acarina was higher in autumn and positively related with soil total Cu, whereas Collembola abundance was higher in spring and correlated with water-extractable Cu. Arthropod community was heavily affected by seasonal variations in climatic conditions in high and low polluted soils, showing for the same soil different responses dependent on the sampling season. Sampling time therefore is a fundamental factor when assessing the effects of metal pollution on soil arthropod communities. (C) 2014 Elsevier B.V. All rights reserved."
"65","Santorufo, L.; Cortet, J.; Arena, C.; Goudon, R.; Rakoto, A.; Morel, J. L.; Maisto, G.","An assessment of the influence of the urban environment on collembolan communities in soils using taxonomy- and trait-based approaches",2014,"Applied Soil Ecology","10.1016/j.apsoil.2014.02.008","In this study we investigated collembolan communities using both taxonomy- and trait-based approaches in order to determine: (1) which soil or leaf litter characteristics are the main agents of species distribution and functional trait distribution in collembolan communities, and (2) which functional traits are more prevalent in species tolerant to urban environments. To investigate this, soil and leaf litter were sampled in the urban area of Naples, Italy and the collembolan community was analyzed using taxonomic and functional approaches. The results indicated that collembolan density was negatively affected by site pollution, and that species richness, diversity and evenness were positively affected by the organic matter content of the soil. Folsomia lawrencei was the most abundant species in sites with high metal contamination and low soil organic matter content, whereas Mesaphorura sp. and Parisotoma notabilis were the most ubiquitous taxa overall. The main agents affecting the frequency of functional traits were metal contamination of soil and litter, soil organic matter content, leaf specific mass and thickness of the litter. The species most tolerant to urban environmental conditions were found to have small body size, jumping motion strategy, sexual reproduction and presence of pigmentation. (C) 2014 Elsevier B.V. All rights reserved."
"66","Santamaria, J. M.; Moraza, M. L.; Elustondo, D.; Baquero, E.; Jordana, R.; Lasheras, E.; Bermejo, R.; Arino, A. H.","DIVERSITY OF ACARI AND COLLEMBOLA ALONG A POLLUTION GRADIENT IN SOILS OF A PRE-PYRENEAN FOREST ECOSYSTEM",2012,"Environmental Engineering and Management Journal","10.30638/eemj.2012.140","Mites and springtails are important members of soil mesofauna and have been proven to be good bioindicators of airborne pollutants. We studied the surrounding area of a steel mill located in a mountain valley of North Spain. Previous studies had documented the existence of a pollution gradient in this area due to the emissions of the factory, thus providing an interesting site to investigate the potential effects of pollutants (heavy metals and nitrogen) on soil biodiversity. The density of Acari and Collembola significantly decreased with the increase in concentration of Cr, Mn, Zn, Cd and Pb. Mites appeared to be more sensitive to heavy metal pollution than springtails. Likewise, the density of these microarthropoda was lower in those soils exhibiting higher nitrogen content. The species composition of the community of Acari and Collembola changed according to heavy metal pollution. Significant differences in abundance, species richness and diversity were observed between the communities of the sampling sites. Some species were exclusive of the less polluted sites, while other appeared in the most contaminated ones. This different response of soil mesofauna to pollutants suggests that some mite or springtail species could be used as bioindicators of heavy metal pollution."
"67","Sanjaya, Y.; Suhara","Collembola Diversity between Chemical Pesticide and Bioinsecticide in Broccoli Farm (Brassica oleraceae var. italica)",2017,"International Seminar on Mathematics, Science, and Computer Science Education","10.1088/1742-6596/812/1/012011","The existance of Collembola diversity was determined by how land system work. Farming systems with excessive pesticide application can reduce number of Collembola. On the other hand nowaday people aware of environment by using bioinsecticide. The Method were comparing two land system which use Chemical pestisice and Bioinsecticide. Procedure were using Trapping wells (PMS) in three plots; T0: control without treatment, T1: Chemical Insecticide, T2 : Bioinsecticide for 24 hours. The factors that measure are abiotic factors by taking 10 grams of soil planting Broccoli (Brassica oleraceae var Italica), after 24 hours of taking separates it with other land animals, then identifying Collembola species were using Microcam based on identification book of Collembola. The result showed that density and Biodiversity of land system bioinsecticide was the highest value and indic. It was found also that in Broccoli farm dicovered 3 Familia and 8 species of Collembola both litter and soil. Species found that Isotomurus sp, Seira sp, Lepidosira sp, Coecobrya sp, Callyntura sp, Homidia sp, Sallina sp and Ascocytrus sp, three Family is derived from Isotomidae, Entomobryidae and Paronellid."
"68","Ruess, L.; Schmidt, I. K.; Michelsen, A.; Jonasson, S.","Manipulations of a microbial based soil food web at two arctic sites - evidence of species redundancy among the nematode fauna?",2001,"Applied Soil Ecology","10.1016/s0929-1393(00)00131-1","Nutrient limitation is a major factor influencing ecosystem processes in arctic soils. but knowledge on the decomposer food web interactions and their effects on nutrient cycling is scarce. Manipulations of the soil food web were carried out at two contrasting subarctic sites, a low altitude heath and a high altitude fellfield. The amount of nutrients and energy in the soil was increased by NPK fertilization and addition of labile carbon (sugar). Additionally, two bactericides (penicillin and streptomycin) and a fungicide (benomyl) were applied to manipulate the bacterial and fungal biomass. Experiments were carried out in a factorial design with repeated additions over four growing seasons. The present study investigates the effects of the manipulations on the composition of the nematode fauna. It focuses on diversity and trophic structure and their relationships with soil processes. The application of bactericides had no effect on the nematode fauna, probably due to a high adsorption or low persistence of the antibiotics in the soil, as indicated by a comparable lack of response of target organisms (i.e. bacteria). Generally, the other manipulations caused a shift in dominance structure with an increase in general opportunists and a decrease in K-strategists. This was reflected in a reduction of the maturity index. Similarly, species number, richness and diversity declined, and those effects were most pronounced in treatments with the fungicide benomyl, which was revealed to be a strong toxin to non-target organisms. In contrast to the distinct changes in species structure, the trophic structure was only moderately affected by the manipulations. Relating these findings to the estimates of functional properties at the sites (e.g. microbial biomass, plant growth) indicates considerable redundancy among the nematode fauna. The impact of the perturbations on the nematode populations was most severe at the climatically harsh high altitude fellfield, probably as a result of the lower initial biodiversity (i.e. redundancy) at that site. (C) 2001 Elsevier Science B.V. All rights reserved."
"69","Rombke, J.; Coors, A.; Fernandez, A. A.; Forster, B.; Fernandez, C.; Jensen, J.; Lumaret, J. P.; Cots, M. A. P.; Liebig, M.","Effects of the parasiticide ivermectin on the structure and function of dung and soil invertebrate communities in the field (Madrid, Spain)",2010,"Applied Soil Ecology","10.1016/j.apsoil.2010.05.004","The effects of the parasiticide ivermectin on dung and soil fauna as well as dung decomposition were assessed in a field study conducted near Madrid (Spain). Groups of cattle were treated with an injection of Ivomec (R) at a dosage of 200 mu g ivermectin kg(-1) body weight at four different time points before collecting the fresh dung of all cattle groups on day 0. Dung pats prepared from the dung of the ivermectin-treated cattle were exposed in the field from day 0 onwards in parallel with dung pats that were prepared from the dung of untreated cattle and that was either spiked with a high concentration of ivermectin (positive control) or not spiked (negative control). Ivermectin concentrations in freshly excreted dung ranged from 0.31 to 0.81 mg ivermectin kg(-1) dung dry weight. Ivermectin soil concentrations were highest below ivermectin-spiked dung in the uppermost soil layer with up to 0.085 mg ivermectin kg(-1) soil dw. No ivermectin-related effects on collembolans and mites were found. A significant decrease in the abundance of adult dung beetles was observed at 0.81 mg ivermectin kg(-1) dung dw, but the two most abundant species showed contrasting responses. For the dung beetle species, Volinus distinctus, a no observed effect concentration (NOEC) and a median effect concentration (EC(50)) of 0.50 and 0.62 mg ivermectin kg(-1) dung dw, respectively, were determined. Dung fly larvae were the most sensitive dung fauna group as their abundance was significantly reduced in all ivermectin treatments, resulting in a NOEC of <0.31 mg ivermectin kg(-1) dw. Staphylinid beetles were abundant in the dung, but apparently not affected by ivermectin. Dung from ivermectin-treated cattle degraded more slowly than dung from untreated cattle, resulting in a NOEC of <0.78 mg ivermectin kg(-1) dung dw for this functional endpoint. Adult dung beetles of both dominant species were attracted to dung pats spiked with ivermectin. The mobility of ivermectin appeared to differ between dung from ivermectin-treated cattle and dung spiked with ivermectin. This finding challenges approaches to assess the fate and effect of veterinary pharmaceuticals in higher tier tests by using spiked dung. This field study detected consistent results regarding effects of ivermectin on structural and functional endpoints in the dung compartment but effects on soil microarthropods are of little relevance in comparison. This study further advances guidance on higher tier tests that is required to make the results more applicable to the environmental risk assessment of veterinary pharmaceuticals. (C) 2010 Elsevier B.V. All rights reserved."
"70","Visioli, G.; Menta, C.; Gardi, C.; Conti, F. D.","Metal toxicity and biodiversity in serpentine soils: Application of bioassay tests and microarthropod index",2013,"Chemosphere","10.1016/j.chemosphere.2012.09.081","Eco-toxicological or bioassay tests have been intensively discussed as tools for the evaluation of soil quality. Tests using soil organisms, including microarthropods and plants, allow direct estimates to be made of important soil characteristics and functions. In this study we compared the results obtained by two in vitro standard bioassays following ISO or OECD guidelines: (i) the short term-chronic phytotoxicity germination and root elongation test using three different plant species Cucumis sativus L (Cucurbitaceae), Lepidium sativum L (Brassicaceae), and Medicago sativa L (Fabaceae) and (ii) the inhibition of reproduction of Folsomia candida (Collembola) by soil pollutants to investigate the toxicity of a serpentine soil present in the Italian Apennines, rich in heavy metals such as Ni, Cr, and Co. In addition, microarthropod communities were characterised to evaluate the effects of metal contents on the soil fauna in natural conditions. Abundances, Acari/Collembola ratio, biodiversity indices and the QBS-ar index were calculated. Our results demonstrate that the two in vitro tests distinguish differences correlated with metal and organic matter contents in four sub-sites within the serpentinite. Soil fauna characterisation, not previously performed on serpentine soils, revealed differences in the most vulnerable and adapted groups of microarthropods to soil among the four sub-sites: the microarthropod community was found to be rich in term of biodiversity in the sub-site characterised by a lower metal content and a higher organic matter content and vegetation. (C) 2012 Elsevier Ltd. All rights reserved."
"71","Vincent, Q.; Leyval, C.; Beguiristain, T.; Auclerc, A.","Functional structure and composition of Collembola and soil macrofauna communities depend on abiotic parameters in derelict soils",2018,"Applied Soil Ecology","10.1016/j.apsoil.2018.07.002","In the last decades, anthropogenic disturbances have altered the ability of soils to provide diverse functions. Certain anthropogenic soils, with a low fertility level and often contaminated, ended up underused and derelict. Although derelict for humans, these soils may be refuges for biodiversity, but their biological functioning remains poorly understood. To this end, a trait-based approach of soil invertebrate communities might be an effective predictor of ecosystem state. The present work aims to highlight the in situ links between the abiotic characteristics of derelict soils and the taxonomic and functional structure and composition (through a trait-based approach) of macrofauna and Collembola communities inhabiting these soils. We studied 6 different derelict soils: two soils from coking plants, one soil from a settling pond, two constructed soils, and an inert waste storage soil. We measured fifteen abiotic soil parameters that inform on fertility and contamination. We took into account sixteen traits and ecological preferences to characterize the functional structure and composition of Collembola and macrofauna communities. Soil fertility (organic matter content, C:N ratio, P, Ca and Mg concentrations, cation-exchange capacity, and clay content) and moderate contamination (Pb, Cd, Zn, and PAH concentrations) altered the taxonomic and functional composition of Collembola and macrofauna communities by selecting traits such as body length, pigmentation, vertical distribution, diet type, and habitat preference. Compost-amended constructed soil properties selected taxonomic and functional community composition of slightly disturbed soil. In contrast, metal-contaminated constructed soil harbored a higher proportion of Collembola displaying the traits and ecological preferences of instable ecosystems. The study of functional profiles of Collembola and macrofauna communities in the derelict soils evidenced that they support different communities with more or less wide functional potential. It underlines the interest of multiple biotic component studies to reach a better ecosystem description."
"72","Vincent, Q.; Auclerc, A.; Beguiristain, T.; Leyval, C.","Assessment of derelict soil quality: Abiotic, biotic and functional approaches",2018,"Science of the Total Environment","10.1016/j.scitotenv.2017.09.118","The intensification and subsequent closing down of industrial activities during the last century has left behind large surfaces of derelict lands. Derelict soils have low fertility, can be contaminated, and many of them remain unused. However, with the increasing demand of soil surfaces, they might be considered as a resource, for example for non-food biomass production. The study of their physico-chemical properties and of their biodiversity and biological activity may provide indications for their potential re-use. The objective of our study was to investigate the quality of six derelict soils, considering abiotic, biotic, and functional parameters. We studied (i) the soil bacteria, fungi, meso- and macro-fauna and plant communities of six different derelict soils (two from coking plants, one from a settling pond, two constructed ones made from different substrates and remediated soil, and an inert waste storage one), and (ii) their decomposition function based on the decomposer trophic network, enzyme activities, mineralization activity, and organic pollutant degradation. Biodiversity levels in these soils were high, but all biotic parameters, except the mycorrhizal colonization level, discriminated them. Multivariate analysis showed that biotic parameters co-varied more with fertility proxies than with soil contamination parameters. Similarly, functional parameters significantly co-varied with abiotic parameters. Among functional parameters, macro-decomposer proportion, enzyme activity, average mineralization capacity, and microbial polycyclic aromatic hydrocarbon degraders were useful to discriminate the soils. We assessed their quality by combining abiotic, biotic, and functional parameters: the compost-amended constructed soil displayed the highest quality, while the settling pond soil and the contaminated constructed soil displayed the lowest. Although differences among the soils were highlighted, this study shows that derelict soils may provide a biodiversity ecosystem service and are functional for decomposition. (C) 2017 Elsevier B.V. All rights reserved."
"73","Vervoort, M. T. W.; Vonk, J. A.; Brolsma, K. M.; Schutze, W.; Quist, C. W.; de Goede, R. G. M.; Hoffland, E.; Bakker, J.; Mulder, C.; Hallmann, J.; Helder, J.","Release of isothiocyanates does not explain the effects of biofumigation with Indian mustard cultivars on nematode assemblages",2014,"Soil Biology & Biochemistry","10.1016/j.soilbio.2013.10.008","While soil biota play an essential role in ecosystem services, the plant-pathogenic fraction may have a large, negative economic impact on food and feed production. For decades, the use of so-called fumigants (=general biocides) has been a common practice for controlling soil pathogens, including plant-parasitic nematodes. Due to their adverse environmental impact, many fumigants have been banned. Biofumigation - a possible alternative - encompasses the incorporation of mulched Brassicaceous debris into topsoil, and its mode of action is based on the conversion of glucosinolates (GSLs) into nematicidal isothiocyanates (ITCs). Contrary to the relatively well-characterized impact of biofumigation on plant-parasitic nematodes, the effects on the non-parasitic part of the community is largely unknown. We investigated the field effects of biofumigation with four Indian mustard (Brassica juncea) cultivars on both plant-parasitic and free-living nematodes. Prior to biofumigation, GSL contents of B. juncea were determined, and from this, the expected ITC concentrations in the topsoil were calculated. As positive controls, two concentrations of 2-propenyl ITC - corresponding to the average expected ITC concentration, and two times the concentration predicted for the highest producer - were directly applied to wheat (=non Brassica control) plots. Although biofumigation resulted in significant changes for most nematode taxa, none of these shifts could be attributed to the release of ITCs. Moreover, none of the two directly applied ITC concentrations resulted in effects on the nematode community distinct from the water control. We therefore conclude that the observed changes in nematode assemblages are related to intense mechanical disturbance, green manure and the absence of host plants for obligatory plant-parasitic nematodes, rather than to the release of ITCs. (C) 2013 Elsevier Ltd. All rights reserved."
"74","Vandecasteele, B.; Samyn, J.; Quataert, P.; Muys, B.; Tack, F. M. G.","Earthworm biomass as additional information for risk assessment of heavy metal biomagnification: a case study for dredged sediment-derived soils and polluted floodplain soils",2004,"Environmental Pollution","10.1016/j.envpol.2003.12.007","The important role of earthworms in the biomagnification of heavy metals in terrestrial ecosystems is widely recognised. Differences in earthworm biomass between sites is mostly not accounted for in ecological risk assessment. These differences may be large depending on soil properties and Pollution status. A survey of earthworm biomass and colonisation rate was carried out on dredged sediment-derived soils (DSDS). Results were compared with observations for the surrounding alluvial plains. Mainly grain size distribution and time since disposal determined earthworm biomass on DSDS, while soil pollution status of the DSDS was of lesser importance. Highest earthworm biomass was observed on sandy loam DSDS disposed at least 40 years ago. (C) 2004 Elsevier Ltd. All rights reserved."
"75","Van Zwieten, L.; Rust, J.; Kingston, T.; Merrington, G.; Morris, S.","Influence of copper fungicide residues on occurrence of earthworms in avocado orchard soils",2004,"Science of the Total Environment","10.1016/j.scitotenv.2004.02.014","The compost worm Eisenia fetida was used to demonstrate the avoidance by worms of Cu contaminated soil. Soils were collected from two avocado orchards in north eastern New South Wales, Australia. In avoidance trials, worms preferred non-contaminated control soils, sourced from adjacent to the orchard or an OECD control soil, when Cu residues in the orchard soils reached 4-34 mg Cu kg(-1). At levels of 553 mg Cu kg(-1), 90% avoidance of orchard soil was observed. The worms showed preference for the soils in the order; uncontaminated field derived soil > OECD standard soil > Cu contaminated orchard soil. It was demonstrated that OECD standard soil was less favoured by worms than control soil derived from the test sites. While Cu was found to be the primary influence on worm avoidance in orchard soil, other factors, such as elevated soil Zn concentrations, could not be discounted. In a corresponding field study, it was shown that earthworms occurred at lower density in orchard soils with a history of Cu fungicide use. In one such orchard, soil Cu concentrations of up to 270 mg kg(-1) were determined and no earthworms were found, while nearby control sites and less contaminated sites within the orchard had up to 40.7 g m(-2) earthworm biomass. Considering the potential for Cu to accumulate in these soils and the subsequent impacts on soil biota, our results highlight the importance of limiting future application of Cu based fungicides. (C) 2004 Elsevier B.V. All rights reserved."
"76","van Vliet, P. C. J.; de Goede, R. G. M.","Nematode-based risk assessment of mixture toxicity in a moderately polluted river floodplain in The Netherlands",2008,"Science of the Total Environment","10.1016/j.scitotenv.2008.06.056","Heavy metal polluted soils usually contain mixtures of different metals, whereas legislation is derived from concentrations of individual metals. The mixture toxicity of the Dutch floodplain Afferdensche and Deestsche Waarden was estimated to be high (msPAF ranged from 67-90%). Analyses of nematode community based bioindicators (Maturity Index, taxonomic diversity, trophic groups, multivariate analysis, DoFT-sentinels) were used to determine the ecological effects of the mixture toxicity in the floodplain soil. None of the indices indicated direct effects of heavy metals on the nematode community. This can be explained by the high adsorption of heavy metals on organic matter and clay particles resulting in a low bioavailability, and questions the estimation of the toxicity based on total concentrations of heavy metals in such environments. The nematode fauna showed great seasonal variation, which most probably was related to the temporal inundation of the floodplain. (C) 2008 Elsevier B.V. All rights reserved."
"77","van Gestel, C. A. M.; Koolhaas, J. E.; Hamers, T.; van Hoppe, M.; van Roovert, M.; Korsman, C.; Reineckec, S. A.","Effects of metal pollution on earthworm communities in a contaminated floodplain area: Linking biomarker, community and functional responses",2009,"Environmental Pollution","10.1016/j.envpol.2008.11.002","Effects on earthworms in the contaminated floodplain area the Biesbosch, the Netherlands, were determined at different levels of organization using a combination of field and laboratory tests. The species Lumbricus rubellus, collected from different polluted sites in the Biesbosch showed reduced, values for the biomarker neutral red retention time (NRRT), mainly explained by high metal concentrations in the soil and the resulting high internal copper concentrations in the earthworms. Organic pollutant levels in earthworms were low and did not explain reduced NRRTs. Earthworm abundance and biomass were not correlated with pollutant levels in the soil. Litterbag decomposition and bait-lamina feeding activity, measures of the functional role of earthworms, were not affected by metal pollution and did not show any correlation with metal concentrations in soil or earthworms nor with NRRT. Effects at the biochemical level therefore did not result in a reduced functioning of earthworm communities. (C) 2008 Elsevier Ltd. All rights reserved."
"78","Wahl, J. J.; Theron, P. D.; Maboeta, M. S.","Soil mesofauna as bioindicators to assess environmental disturbance at a platinum mine in South Africa",2012,"Ecotoxicology and Environmental Safety","10.1016/j.ecoenv.2012.09.027","South Africa is rich in mineral resources and is one of the leading raw material exporters in the world. Mining is essential for economic development, but also has detrimental environmental consequences in the form of chemical waste products which are being dumped as tailings material. The aim of this study was to establish whether mesofauna could be utilized to assess the influence of the tailings disposal facility on the surrounding soil environment. The sampled soil was chemically analyzed and the extracted mesofauna identified. High metal concentrations on the tailings dam (Cu, Cr and Ni), apparently had the greatest influence on the soil mesofauna. Only a few mite species were abundant at the two sites on the tailings dam, representing the prostigmatic-, cryptostigmatic- and the mesostigmatic-taxa. Metal pollution is evident in the sites on the tailings dam facility and the number of species generally increased towards the more natural environment. (C) 2012 Elsevier Inc. All rights reserved."
"79","Vacht, P.; Puusepp, L.; Koff, T.","The Use of Oribatid Mites and Diatoms as Combined Indicators of Contaminations from Multiple Origins in Riparian Zone Forest Soils in Estonia",2018,"Baltic Forestry","","This study investigates the combined use of oribatid mites and diatoms in pine forest riparian zone soils. We focus on these organism groups as bioindicators of long-term anthropogenic disturbances of various origins categorized as two contamination levels: 1) moderate level that integrates the effects of sulphate-rich mining water contamination and alkaline air pollution that affected the area in the 1980s; 2) mild level that has been affected only by the alkaline air pollution. Additionally, the oribatid mite and diatom communities of these two groups of study sites were compared to another study area, which has similar natural conditions but is uninfluenced by these anthropogenic pollutants. Changes in oribatid mite abundance and the presence or absence of specific diatom species were the most significant differences in comparison of the two contamination levels and the area with very low human impact. Based on the community dissimilarities, both bioindicators had difficulty differentiating between the contamination levels when viewed separately. However, when the community data of the two groups were pooled, their ability to indicate the studied contamination levels improved noticeably. The sulphate-rich mining water contamination showed no strong influence on the communities, therefore the full indicative potential of these two groups may not have been reached. Nevertheless, this study provided new information about the soil communities inhabiting riparian areas and through that helped us understand some of the dynamics in diatom and oribatid mite communities brought on by long-term but weak disturbances. Some promising species were proposed from both groups that might help predict the effects of sulphate-rich mining water contamination or alkaline air pollution. Also, the taxonomic list of oribatid mites provides a valuable insight into the Estonian riparian forest soil oribatid fauna."
"80","Creamer, R. E.; Rimmer, D. L.; Black, H. I. J.","Do elevated soil concentrations of metals affect the diversity and activity of soil invertebrates in the long-term?",2008,"Soil Use and Management","10.1111/j.1475-2743.2007.00131.x","This study aimed to elucidate the response of diversity and activity of soil invertebrates to elevated soil metal concentrations that were a result of sewage sludge application. Field sampling of soil invertebrates was carried out from 2002 to 2004 at an experimental site established in 1982 to test the effects on crop production of metal contamination from sewage sludge applications with elevated concentrations of zinc (Zn), copper (Cu) and nickel (Ni) with certain treatments exceeding the current UK statutory limits for the safe use of sludge on land. At metal concentrations within the limits, none of the invertebrates sampled showed adverse effects on their abundance or overall community diversity (from Shannon-Weiner index). At concentrations above the limits, individual taxa showed sensitivity to different metals, but overall diversity was not affected. Earthworm abundance was significantly reduced at total Cu concentrations at and above 176 mg kg(-1), while nematode and enchytraeid abundances were sensitive to Cu and high Zn concentrations. Correspondingly, litter decomposition was lower in Zn and Cu treatments although there was no direct relationship between decomposition and soil invertebrate abundance or diversity. Such enduring changes in both soil biodiversity and biological activity around the current UK regulatory limits warrant further investigation to determine whether they indicate detrimental damage to soil functioning over the long-term."
"81","Velcheva, I.; Petrova, S.; Mollov, I.; Gecheva, G.; Georgiev, D.","HERBICIDES INFLUENCE THE COMMUNITY STRUCTURE OF THE SOIL MEZOFAUNA",2012,"Bulgarian Journal of Agricultural Science","","A field bioassay was carried out to assess the impact of ""NIRVANA"" (active substances imazamox and pendimethalin) and ""STOW 330 EC"" (active substance pendimethalin) herbicides residues to the soil mezofauna. The investigated herbicides caused changes in the community structure of the soil mezofauna. Highest negative impact (suppression of all studied ecological parameters) was observed until the 100-th day after treatment, and on the experimental plots treated with high concentrations of pendimethalin. The dynamic of the soil community structure was found to be related with those of the pesticides content."
"82","Coyle, D. R.; Zalesny, J. A.; Zalesny, R. S.; Wiese, A. H.","IRRIGATING POPLAR ENERGY CROPS WITH LANDFILL LEACHATE NEGATIVELY AFFECTS SOIL MICRO- AND MESO-FAUNA",2011,"International Journal of Phytoremediation","10.1080/15226514.2011.552927","Increased municipal solid waste generated worldwide combined with substantial demand for renewable energy has prompted testing and deployment of woody feedstock production systems that reuse and recycle wastewaters as irrigation and fertilization. Populus selections are ideal for such systems given their fast growth, extensive root systems, and high water usage rates. Maintaining ecological sustainability (i.e., the capacity for an ecosystem to maintain its function and retain its biodiversity over time) during tree establishment and development is an important component of plantation success, especially for belowground faunal populations. To determine the impact of solid waste leachate on soil micro- and mesofauna, we compared soil from eight different Populus clones receiving municipal solid waste landfill leachate irrigation with clones receiving fertilized (N, P, K) well water irrigation. Microfauna (i.e., nematodes) communities were more diverse in control soils. Mesofauna (i.e., insects) were associated with all clones; however, they were four times more abundant around trees found within the control plot than those that received leachate treatments. Nematode and insect abundance varied among Populus clones yet insect diversity was greater in the leachate-treated soils. Phytotechnologies must allow for soil faunal sustainability, as upsetting this balance could lead to great reductions in phytotechnology efficacy."
